1 epoch, training accuracy: 20.25%, loss = 0.0696
2 epoch, training accuracy: 21.12%, loss = 0.0688
3 epoch, training accuracy: 22.42%, loss = 0.0682
4 epoch, training accuracy: 24.07%, loss = 0.0666
5 epoch, training accuracy: 27.33%, loss = 0.0645
6 epoch, training accuracy: 29.04%, loss = 0.0631
7 epoch, training accuracy: 30.76%, loss = 0.0617
8 epoch, training accuracy: 31.66%, loss = 0.0612
9 epoch, training accuracy: 32.24%, loss = 0.0599
10 epoch, training accuracy: 33.64%, loss = 0.0594
11 epoch, training accuracy: 33.66%, loss = 0.0588
12 epoch, training accuracy: 33.22%, loss = 0.0596
13 epoch, training accuracy: 33.46%, loss = 0.0593
14 epoch, training accuracy: 34.35%, loss = 0.0586
15 epoch, training accuracy: 34.91%, loss = 0.0581
16 epoch, training accuracy: 35.83%, loss = 0.0573
17 epoch, training accuracy: 37.22%, loss = 0.0570
18 epoch, training accuracy: 37.28%, loss = 0.0565
19 epoch, training accuracy: 36.83%, loss = 0.0564
20 epoch, training accuracy: 37.34%, loss = 0.0557
21 epoch, training accuracy: 39.15%, loss = 0.0550
22 epoch, training accuracy: 39.49%, loss = 0.0544
23 epoch, training accuracy: 39.60%, loss = 0.0546
24 epoch, training accuracy: 39.25%, loss = 0.0547
25 epoch, training accuracy: 39.79%, loss = 0.0540
26 epoch, training accuracy: 41.02%, loss = 0.0535
27 epoch, training accuracy: 40.98%, loss = 0.0538
28 epoch, training accuracy: 40.58%, loss = 0.0532
29 epoch, training accuracy: 40.86%, loss = 0.0533
30 epoch, training accuracy: 41.17%, loss = 0.0529
31 epoch, training accuracy: 41.68%, loss = 0.0528
32 epoch, training accuracy: 41.44%, loss = 0.0530
33 epoch, training accuracy: 42.01%, loss = 0.0528
34 epoch, training accuracy: 42.39%, loss = 0.0520
35 epoch, training accuracy: 42.52%, loss = 0.0520
36 epoch, training accuracy: 43.48%, loss = 0.0515
37 epoch, training accuracy: 43.09%, loss = 0.0515
38 epoch, training accuracy: 41.95%, loss = 0.0522
39 epoch, training accuracy: 43.76%, loss = 0.0511
40 epoch, training accuracy: 43.51%, loss = 0.0514
41 epoch, training accuracy: 43.35%, loss = 0.0513
42 epoch, training accuracy: 44.03%, loss = 0.0510
43 epoch, training accuracy: 43.12%, loss = 0.0514
44 epoch, training accuracy: 43.88%, loss = 0.0510
45 epoch, training accuracy: 44.26%, loss = 0.0504
46 epoch, training accuracy: 44.27%, loss = 0.0506
47 epoch, training accuracy: 43.65%, loss = 0.0508
48 epoch, training accuracy: 43.98%, loss = 0.0507
49 epoch, training accuracy: 44.71%, loss = 0.0501
50 epoch, training accuracy: 45.21%, loss = 0.0502
51 epoch, training accuracy: 44.55%, loss = 0.0505
52 epoch, training accuracy: 44.83%, loss = 0.0499
53 epoch, training accuracy: 45.48%, loss = 0.0498
54 epoch, training accuracy: 44.53%, loss = 0.0496
55 epoch, training accuracy: 45.38%, loss = 0.0496
56 epoch, training accuracy: 45.64%, loss = 0.0494
57 epoch, training accuracy: 45.86%, loss = 0.0490
58 epoch, training accuracy: 45.31%, loss = 0.0495
59 epoch, training accuracy: 46.41%, loss = 0.0489
60 epoch, training accuracy: 45.22%, loss = 0.0494
61 epoch, training accuracy: 46.16%, loss = 0.0490
62 epoch, training accuracy: 45.79%, loss = 0.0495
63 epoch, training accuracy: 45.93%, loss = 0.0489
64 epoch, training accuracy: 46.29%, loss = 0.0486
65 epoch, training accuracy: 46.35%, loss = 0.0492
66 epoch, training accuracy: 45.27%, loss = 0.0492
67 epoch, training accuracy: 46.68%, loss = 0.0484
68 epoch, training accuracy: 46.52%, loss = 0.0486
69 epoch, training accuracy: 46.14%, loss = 0.0488
70 epoch, training accuracy: 46.18%, loss = 0.0485
71 epoch, training accuracy: 46.61%, loss = 0.0492
72 epoch, training accuracy: 46.14%, loss = 0.0487
73 epoch, training accuracy: 45.45%, loss = 0.0488
74 epoch, training accuracy: 46.46%, loss = 0.0484
75 epoch, training accuracy: 46.45%, loss = 0.0482
76 epoch, training accuracy: 46.21%, loss = 0.0484
77 epoch, training accuracy: 46.48%, loss = 0.0488
Epoch    77: reducing learning rate of group 0 to 1.0000e-03.
78 epoch, training accuracy: 46.31%, loss = 0.0486
79 epoch, training accuracy: 50.76%, loss = 0.0445
80 epoch, training accuracy: 52.13%, loss = 0.0435
81 epoch, training accuracy: 52.48%, loss = 0.0430
82 epoch, training accuracy: 52.66%, loss = 0.0427
83 epoch, training accuracy: 53.47%, loss = 0.0418
84 epoch, training accuracy: 53.62%, loss = 0.0424
85 epoch, training accuracy: 52.96%, loss = 0.0422
86 epoch, training accuracy: 53.58%, loss = 0.0420
87 epoch, training accuracy: 54.69%, loss = 0.0414
88 epoch, training accuracy: 53.74%, loss = 0.0416
89 epoch, training accuracy: 53.65%, loss = 0.0419
90 epoch, training accuracy: 53.98%, loss = 0.0418
91 epoch, training accuracy: 54.08%, loss = 0.0415
92 epoch, training accuracy: 54.52%, loss = 0.0412
93 epoch, training accuracy: 54.34%, loss = 0.0409
94 epoch, training accuracy: 55.18%, loss = 0.0406
95 epoch, training accuracy: 54.40%, loss = 0.0414
96 epoch, training accuracy: 54.47%, loss = 0.0412
97 epoch, training accuracy: 54.80%, loss = 0.0406
98 epoch, training accuracy: 55.09%, loss = 0.0406
99 epoch, training accuracy: 55.51%, loss = 0.0406
100 epoch, training accuracy: 54.83%, loss = 0.0404
101 epoch, training accuracy: 55.37%, loss = 0.0403
102 epoch, training accuracy: 56.15%, loss = 0.0402
103 epoch, training accuracy: 55.62%, loss = 0.0403
104 epoch, training accuracy: 54.89%, loss = 0.0408
105 epoch, training accuracy: 55.94%, loss = 0.0403
106 epoch, training accuracy: 55.30%, loss = 0.0403
107 epoch, training accuracy: 56.72%, loss = 0.0398
108 epoch, training accuracy: 55.53%, loss = 0.0403
109 epoch, training accuracy: 56.13%, loss = 0.0394
110 epoch, training accuracy: 55.52%, loss = 0.0398
111 epoch, training accuracy: 56.15%, loss = 0.0400
112 epoch, training accuracy: 55.61%, loss = 0.0401
113 epoch, training accuracy: 55.90%, loss = 0.0399
114 epoch, training accuracy: 55.89%, loss = 0.0396
115 epoch, training accuracy: 56.29%, loss = 0.0395
116 epoch, training accuracy: 56.35%, loss = 0.0396
117 epoch, training accuracy: 56.57%, loss = 0.0394
Epoch   117: reducing learning rate of group 0 to 1.0000e-04.
118 epoch, training accuracy: 56.55%, loss = 0.0394
119 epoch, training accuracy: 57.46%, loss = 0.0384
120 epoch, training accuracy: 57.63%, loss = 0.0389
121 epoch, training accuracy: 57.63%, loss = 0.0383
122 epoch, training accuracy: 58.10%, loss = 0.0381
123 epoch, training accuracy: 58.22%, loss = 0.0380
124 epoch, training accuracy: 57.79%, loss = 0.0384
125 epoch, training accuracy: 57.48%, loss = 0.0386
